opdate,unit#,vin#,license#,mileage,year,make,model,color,rims,rims_price,carpet_tear,carpet_tear_price,door_panel_burn,door_panel_burn_price,seat_burns,seat_burns_price
15-Jun,7H8S9B,DU537254,CA 7BSG447,43135,2013,Hyundai ,Accent , Red ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
15-Jun,7KNPO6,FP245044,CA 7GSY719,15183,2015,Toyota ,Corolla LE, White  ,NULL,0,LEFT-FRONT,35,NULL,0,LEFT-FRONT,40
15-Jun,7JW94W,DE272125,CA 7DLU629,38348,2013,Honda,Civic, Gray ,NULL,0,NULL,0,NULL,0,LEFT-REAR,40
15-Jun,7HYLRY,DU520068,CA 7BQG148,36625,2014, Hyundai ,Accent,Blue,NULL,0,LEFT-REAR,35,NULL,0,NULL,0
15-Jun,7J5TTN,EP061425,CA 7DSR167,35874,2014, Toyota ,Corolla,Blue,NULL,0,RIGHT-REAR,35,NULL,0,NULL,0
15-Jun,7HXIM3,DH362426,NULL,41760,2013, Hyundai ,Elantra,Whte,NULL,0,NULL,0,NULL,0,RIGHT-FRONT,40
15-Jun,7KF7LS,DR301476,CA 7CGJ726,33623,2013, Mercedes  ,C250,Whte,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
15-Jun,7K35YM,FG106260,CA 7GDW617,24219,2015, Ford ,Taurus,Black ,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
15-Jun,NULL,D8S67215,CA 7A0E366,520.5,2014, Jaguar  ,XF,Black ,LEFT-FRONT RIGHT-REAR,140,NULL,0,NULL,0,NULL,0
15-Jun,7KR075,FU108826,NH 3670193,29447,2015, Chevy ,Malibu,Slvr,NULL,0,NULL,0,NULL,0,NULL,0
13-Aug,7JGW9R,EC269902,CA 7DEY967,40291,2014,Nissan,Altima, Whte ,NULL,0,NULL,0,LEFT-FRONT,40,NULL,0
13-Aug,7H9D59,DM302265,CA 6YSM113,28271,2013,Infiniti,G37, Slvr ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
13-Aug,7J5MLM,EP060678,CA 7DSP503,37661,2014,Toyota ,Corolla , Gray ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
13-Aug,7JV11V,EP052607,CA 7DCX290,38452,2014, Toyota  ,Corolla ,Slvr,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
13-Aug,7J3WKV,EW093945,CA 7EUL556,26590,2014, Toyota  ,Rav4,Red,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
13-Aug,7HP6R3,DU536893,CA 7ACW856,45049,2013, Hyundai  ,Accent ,Wht,NULL,0,LEFT-FRONT,35,NULL,0,LEFT-REAR,40
13-Aug,7JK4YC,EU379811,CA 7E0R412,41849,2014, Toyota  ,Camry,Blk,NULL,0,NULL,0,NULL,0,NULL,0
13-Aug,7H7H8B,DU538453,CA 7BSG473,42098,2013, Hyundai  ,Accent ,Gray,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
13-Aug,7KZN09,EE214078,CA 7EIU696,38710,2014, Honda ,Civic,Blue,NULL,0,NULL,0,NULL,0,RIGHT-REAR,40
13-Aug,7K84Y9,F4101860,CA 7GRE493,20380,2015, Buick ,Verano,Slvr,ALL,280,NULL,0,NULL,0,NULL,0
13-Aug,7KTR4Q,F4103982,CA 7GRY040,23979,2015, Chevy  ,Sonic,Red,RIGHT-FRONT RIGHT-REAR,140,NULL,0,NULL,0,NULL,0
13-Aug,7K6GWX,F4119699,CA 7HBV460,19595,2015, Chevy  ,Sonic ,Wht,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7JYGDV,ES352002,CA 46106R1,43468,2014,Ram,B15Q, Gray ,NULL,0,NULL,0,NULL,0,RIGHT-REAR,40
20-Aug,7KX7BX,FUA45017,CA 7HNG345,23210,2015,Ford,Escape, Blk ,NULL,0,NULL,0,NULL,0,LEFT-FRONT,40
20-Aug,7J1TRQ,EU623527,CA 7DNZ915,42321,2014,Ford,Accent , Blue  ,NULL,0,NULL,0,NULL,0,LEFT-FRONT,40
20-Aug,7J6SM7,EC271009,CA 7EKL114,35170,2014, Nissan ,Altima,Slvr,NULL,0,NULL,0,NULL,0,RIGHT-FRONT,40
20-Aug,7KX4HN,F4127608,CA 7HGM499,15415,2015, Buick ,Verano,Red,LEFT-FRONT LEFT-REAR,140,NULL,0,NULL,0,NULL,0
20-Aug,7K5W6L,E7454499,CA 7HBP192,11664,2014, CHEVY ,Cruze,Green,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7KX6HP,F7112097,CA 7HGM185,17067,2015, Chevy ,Cruze,Blue,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7K5FQG,F4118454,CA 7HBX510,9525,2015, Chevy  ,Sonic,Black ,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,NULL,F4123091,CA 7HGM004,20875,2015, Chevy ,Sonic,Slvr,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7KD3HR,F4123660,CA 7HBX774,20288,2015, Chevy  ,Sonic ,Slvr,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7K9PSS,F4122267,CA 7HBX494,18401,2015, Chevy  ,Sonic ,Slvr,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7KP1LD,F7109159,WA ASL2446,22779,2015, Chevy ,Cruze,Whte,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
20-Aug,7J1GKT,EG243714,CA 7DSR449,38766,2014, Mercedes-Benz  ,C250,Whte,RIGHT-FRONT RIGHT-REAR,140,NULL,0,NULL,0,NULL,0
20-Aug,7H4KHG,DLB50806,CA 6ZBX523,25190,2013, Jaguar ,Xk,Blk,ALL,280,NULL,0,NULL,0,NULL,0
20-Aug,7J6PHN,EP064848,CA 7DEC955,38008,2014, Toyota  ,Corolla LE+,Silver ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7HR2H2,DU537405,CA 7BSB093,42792,2013, Hyundai  ,Accent ,Blue,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7KTQHQ,EP166971,CA 7CXN366,29317,2014, Toyota  ,Corolla ,Silver ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7JR16P,EU644975,CA 7E0G622,37402,2014, Hyundai  ,Accent ,Gray,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7J6Q3X,EU094209,CA 7FWR189,31369,2014, Toyota  ,Avalon XLE,Black ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7K2TRJ,EP160317,CA 7GJM134,39680,2014, Toyota  ,Corolla LE,Silver,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7JLSJJ,EU653198,CA 78KH995,37704,2014, Hyundai  ,Accent ,Blue ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
20-Aug,7JGHFV,EU613535,AZ BET7547,45897,2014, Hyundai  ,Accent ,Red ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
16-Nov,7KVTDY,FH038466,NULL,39900,2015,Hyundai,Sonata,slvr,NULL,0,NULL,0,NULL,0,RIGHT-FRONT,40
16-Nov,7KMLBQ,FS559479,CA 90064T1,18678,2015,RAM,1500 (B15Q),slvr,NULL,0,NULL,0,NULL,0,RIGHT-FRONT,40
16-Nov,7KLJ46,F9200078,CA 7JQC333,23510,2015,Chevy ,Impala,Blk,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7LJGNB,FG476985,PA 7JWM3277,12374,2015,Kia,Optima,burg,LEFT-REAR RIGHT-FRONT,0,NULL,0,NULL,0,NULL,0
16-Nov,7LSJXT,F4192685,CA 7LMD659,11103,2015,Chevy,Sonic,red,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7LJMK0,F7233773,CA 7KSH858,10640,2015,Chevy ,Cruze,Whte ,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7LSJFF,F7257183,CA 7KTV832,16284,2015,Chevy,Cruze,blk,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7LNGSN,F7254509,CA 7KXD303,12521,2015,Chevy,Cruze,Blk,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7KKJJY,F9205331,AZ AVR7290,15064,2015,Chevy,Impala,Slvr,LEFT-FRONT LEFT-REAR RIGHT-FRONT,210,NULL,0,NULL,0,NULL,0
16-Nov,7LMF9W,FF309669,CA 7KXF098,14153,2015,Chevy,Malibu,Slvr,LEFT-REAR RIGHT-FRONT RIGHT-REAR,210,NULL,0,NULL,0,NULL,0
16-Nov,7K6PF3,FU118458,CA 7JSE977,23290,2015,Chevy,Impala,Blk,LEFT-FRONT RIGHT-FRONT RIGHT-REAR,210,NULL,0,NULL,0,NULL,0
16-Nov,7LP5NX,FG478317,CA 7MAY293,9570,2015,Kia,Optima,Gray,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7KF6HW,F7184796,CA 7KBV639,12917,2015,Chevy,Cruze,whte,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
16-Nov,7JLMVR,EU652422,AZ BFC4249,43275,2014,Hyundai,Accent, Brwn ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
16-Nov,7J9VQ3,EP077589,CA 7EKJ579,44653,2014,Toyota ,Corolla , Slvr ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
16-Nov,7JHR02,EP099435,CA 7ETT117,36021,2014,Toyota ,Corolla , Blue ,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
